No,Kualitas Tidur,Performa Akademik,Hubungan Dosen-Mhs,Support Sosial,Kondisi Kehidupan,Output
1,Buruk,Rendah,Buruk,Buruk,Buruk,Tinggi
2,Buruk,Rendah,Buruk,Buruk,Baik,Tinggi
3,Buruk,Rendah,Buruk,Baik,Buruk,Tinggi
4,Buruk,Rendah,Buruk,Baik,Baik,Sedang
5,Buruk,Rendah,Baik,Buruk,Buruk,Tinggi
6,Buruk,Rendah,Baik,Buruk,Baik,Sedang
7,Buruk,Rendah,Baik,Baik,Buruk,Sedang
8,Buruk,Rendah,Baik,Baik,Baik,Sedang
9,Buruk,Sedang,Buruk,Buruk,Buruk,Tinggi
10,Buruk,Sedang,Buruk,Buruk,Baik,Tinggi
11,Buruk,Sedang,Buruk,Baik,Buruk,Tinggi
12,Buruk,Sedang,Buruk,Baik,Baik,Sedang
13,Buruk,Sedang,Baik,Buruk,Buruk,Tinggi
14,Buruk,Sedang,Baik,Buruk,Baik,Sedang
15,Buruk,Sedang,Baik,Baik,Buruk,Sedang
16,Buruk,Sedang,Baik,Baik,Baik,Sedang
17,Buruk,Tinggi,Buruk,Buruk,Buruk,Tinggi
18,Buruk,Tinggi,Buruk,Buruk,Baik,Sedang
19,Buruk,Tinggi,Buruk,Baik,Buruk,Sedang
20,Buruk,Tinggi,Buruk,Baik,Baik,Sedang
21,Buruk,Tinggi,Baik,Buruk,Buruk,Sedang
22,Buruk,Tinggi,Baik,Buruk,Baik,Sedang
23,Buruk,Tinggi,Baik,Baik,Buruk,Sedang
24,Buruk,Tinggi,Baik,Baik,Baik,Normal
25,Baik,Rendah,Buruk,Buruk,Buruk,Tinggi
26,Baik,Rendah,Buruk,Buruk,Baik,Sedang
27,Baik,Rendah,Buruk,Baik,Buruk,Sedang
28,Baik,Rendah,Buruk,Baik,Baik,Sedang
29,Baik,Rendah,Baik,Buruk,Buruk,Sedang
30,Baik,Rendah,Baik,Buruk,Baik,Sedang
31,Baik,Rendah,Baik,Baik,Buruk,Sedang
32,Baik,Rendah,Baik,Baik,Baik,Normal
33,Baik,Sedang,Buruk,Buruk,Buruk,Tinggi
34,Baik,Sedang,Buruk,Buruk,Baik,Sedang
35,Baik,Sedang,Buruk,Baik,Buruk,Sedang
36,Baik,Sedang,Buruk,Baik,Baik,Sedang
37,Baik,Sedang,Baik,Buruk,Buruk,Sedang
38,Baik,Sedang,Baik,Buruk,Baik,Sedang
39,Baik,Sedang,Baik,Baik,Buruk,Sedang
40,Baik,Sedang,Baik,Baik,Baik,Normal
41,Baik,Tinggi,Buruk,Buruk,Buruk,Sedang
42,Baik,Tinggi,Buruk,Buruk,Baik,Sedang
43,Baik,Tinggi,Buruk,Baik,Buruk,Sedang
44,Baik,Tinggi,Buruk,Baik,Baik,Normal
45,Baik,Tinggi,Baik,Buruk,Buruk,Sedang
46,Baik,Tinggi,Baik,Buruk,Baik,Normal
47,Baik,Tinggi,Baik,Baik,Buruk,Normal
48,Baik,Tinggi,Baik,Baik,Baik,Normal
